Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
B Kumar (SRH),2023-2023,14,6,3,42,27,14.00,47,89.36,0,0,0,4,0
Shahbaz Ahmed (RCB),2023-2023,10,6,2,42,20*,10.50,39,107.69,0,0,0,3,1
GD Phillips (SRH),2023-2023,5,5,0,39,25,7.80,22,177.27,0,0,1,2,4
M Jansen (SRH),2023-2023,8,6,3,39,17*,13.00,43,90.69,0,0,0,4,0
Vishnu Vinod (MI),2023-2023,3,3,0,37,30,12.33,31,119.35,0,0,0,2,2
A Nortje (DC),2023-2023,10,7,4,37,23*,12.33,29,127.58,0,0,1,6,0
DJ Willey (RCB),2023-2023,4,3,3,35,20*,0.00,32,109.37,0,0,0,4,0
SS Prabhudessai (RCB),2023-2023,5,4,0,35,19,8.75,29,120.68,0,0,1,1,2
Abishek Porel (DC),2023-2023,4,4,0,33,20,8.25,31,106.45,0,0,0,1,2
PW Hasaranga (RCB),2023-2023,8,5,3,33,12*,16.50,28,117.85,0,0,0,3,0
Kuldeep Yadav (DC),2023-2023,14,10,8,31,10*,15.50,48,64.58,0,0,2,2,0
MD Shanaka (GT),2023-2023,3,3,1,26,17,13.00,26,100.00,0,0,1,2,1
T Stubbs (MI),2023-2023,2,2,0,25,20,12.50,31,80.64,0,0,0,2,0
PP Chawla (MI),2023-2023,16,4,2,25,18,12.50,22,113.63,0,0,1,1,1
HR Shokeen (MI),2023-2023,8,3,2,23,18*,23.00,17,135.29,0,0,0,4,0
AS Roy (KKR),2023-2023,4,4,2,23,13*,11.50,19,121.05,0,0,1,3,0
AU Rashid (SRH),2023-2023,2,2,0,22,18,11.00,16,137.50,0,0,0,2,1
PK Garg (DC),2023-2023,2,2,0,22,12,11.00,23,95.65,0,0,0,1,0
D Wiese (KKR),2023-2023,3,3,2,21,12*,21.00,11,190.90,0,0,0,0,3
M Markande (SRH),2023-2023,10,3,3,21,18*,0.00,13,161.53,0,0,0,2,1
SP Narine (KKR),2023-2023,14,10,3,21,7*,3.00,25,84.00,0,0,3,2,1
R Dhawan (PBKS),2023-2023,6,3,1,20,19,10.00,12,166.66,0,0,0,1,1
Ravi Bishnoi (LSG),2023-2023,15,7,4,20,5,6.66,27,74.07,0,0,0,1,0
A Mishra (LSG),2023-2023,7,1,0,19,19,19.00,30,63.33,0,0,0,2,0
Umran Malik (SRH),2023-2023,8,2,1,19,19*,19.00,8,237.50,0,0,1,1,2
UT Yadav (KKR),2023-2023,8,5,3,19,6*,9.50,18,105.55,0,0,0,1,0
Arshad Khan (MI),2023-2023,6,3,1,18,15*,9.00,15,120.00,0,0,0,0,1
Akash Deep (RCB),2023-2023,2,1,0,17,17,17.00,8,212.50,0,0,0,2,1
AJ Hosein (SRH),2023-2023,1,1,1,16,16*,0.00,10,160.00,0,0,0,1,1
P Dubey (DC),2023-2023,1,1,0,16,16,16.00,20,80.00,0,0,0,2,0
Naveen-ul-Haq (LSG),2023-2023,8,3,2,16,13,16.00,21,76.19,0,0,0,2,0
YV Dhull (DC),2023-2023,4,3,0,16,13,5.33,23,69.56,0,0,0,1,0
TA Boult (RR),2023-2023,10,4,3,16,15,16.00,14,114.28,0,0,0,1,1
BA Stokes (CSK),2023-2023,2,2,0,15,8,7.50,14,107.14,0,0,0,2,0
Mandeep Singh (KKR),2023-2023,3,3,0,14,12,4.66,16,87.50,0,0,1,0,1
AS Tendulkar (MI),2023-2023,4,1,0,13,13,13.00,9,144.44,0,0,0,0,1
V Vyshak (RCB),2023-2023,7,2,1,13,13*,13.00,9,144.44,0,0,1,0,1
KM Jadhav (RCB),2023-2023,2,1,1,12,12*,0.00,10,120.00,0,0,0,1,0
KS Sharma (LSG),2023-2023,2,2,0,12,9,6.00,21,57.14,0,0,0,0,0
JO Holder (RR),2023-2023,8,3,1,12,11,6.00,11,109.09,0,0,1,0,1
MA Wood (LSG),2023-2023,4,2,1,11,10*,11.00,5,220.00,0,0,0,1,1
Sanvir Singh (SRH),2023-2023,2,2,1,11,7,11.00,9,122.22,0,0,0,1,1
JE Root (RR),2023-2023,3,1,0,10,10,10.00,15,66.66,0,0,0,1,0
M Vohra (LSG),2023-2023,1,1,0,10,10,10.00,11,90.90,0,0,0,1,0
A Zampa (RR),2023-2023,6,3,0,10,7,3.33,16,62.50,0,0,0,0,0
JD Unadkat (LSG),2023-2023,3,1,0,9,9,9.00,7,128.57,0,0,0,1,0
Noor Ahmad (GT),2023-2023,13,3,1,8,7*,4.00,9,88.88,0,0,1,1,0
AS Joseph (GT),2023-2023,7,2,2,7,7*,0.00,12,58.33,0,0,0,1,0
R Powell (DC),2023-2023,3,3,0,7,4,2.33,9,77.77,0,0,0,1,0
Mukesh Kumar (DC),2023-2023,10,3,3,7,6*,0.00,9,77.77,0,0,0,0,0
K Kartikeya (MI),2023-2023,8,1,0,6,6,6.00,7,85.71,0,0,0,1,0
JP Behrendorff (MI),2023-2023,12,2,2,6,3*,0.00,9,66.66,0,0,0,0,0
CJ Jordan (MI),2023-2023,6,2,0,6,4,3.00,12,50.00,0,0,0,0,0
HV Patel (RCB),2023-2023,14,2,0,6,6,3.00,6,100.00,0,0,1,0,1
Mohammed Shami (GT),2023-2023,17,2,0,5,5,2.50,6,83.33,0,0,1,1,0
Litton Das (KKR),2023-2023,1,1,0,4,4,4.00,4,100.00,0,0,0,1,0
JC Archer (MI),2023-2023,5,2,2,4,3*,0.00,4,100.00,0,0,0,0,0
C Sakariya (DC),2023-2023,2,2,1,4,4,4.00,6,66.66,0,0,0,1,0
KV Sharma (RCB),2023-2023,7,2,0,3,2,1.50,5,60.00,0,0,0,0,0
VG Arora (KKR),2023-2023,5,2,2,3,2*,0.00,2,150.00,0,0,0,0,0
